VPNr, Trial, band, XLoc, YLoc
1,1,4,10,164
1,1,4,240,131
1,1,4,194,143
1,1,4,101,126
1,1,5,44,136
1,1,5,9,54
1,1,5,12,19
1,1,5,211,134
1,1,5,82,183
1,1,5,9,85
1,1,5,98,147
1,1,5,204,36
1,1,5,126,86
1,1,5,166,137
1,1,5,194,53
1,1,5,175,126
1,1,5,42,23
1,1,5,128,185
1,1,5,88,113
1,1,5,58,145
1,2,4,74,146
1,2,4,193,74
1,2,4,146,15
1,2,4,14,102
1,2,5,200,180
1,2,5,34,110
1,2,5,121,3
1,2,5,87,32
1,2,5,204,60
1,2,5,136,32
1,2,5,155,51
1,2,5,168,133
1,2,5,192,87
1,2,5,22,44
1,2,5,234,30
1,2,5,212,104
1,2,5,256,16
1,2,5,114,21
1,2,5,247,1
1,2,5,199,157
1,2,5,223,17
1,2,5,103,50
1,2,5,205,83
1,3,3,126,94
1,3,4,87,173
1,3,4,95,22
1,3,4,200,75
1,3,4,62,78
1,3,4,25,26
1,3,4,242,184
1,3,4,148,12
1,3,4,61,68
1,3,4,211,3
1,3,5,12,33
1,3,5,167,141
1,3,5,166,87
1,3,5,141,57
1,3,5,191,37
1,3,5,176,36
1,3,5,95,121
1,3,5,200,16
1,3,5,238,149
1,3,5,125,84
1,3,5,115,59
1,3,5,131,99
1,4,4,80,178
1,4,4,111,36
1,4,4,232,189
1,4,4,113,22
1,4,4,67,79
1,4,4,153,51
1,4,5,155,137
1,4,5,57,23
1,4,5,76,62
1,4,5,109,98
1,4,5,22,51
1,4,5,206,6
1,4,5,238,141
1,4,5,126,112
1,4,5,61,89
1,4,5,247,105
1,4,5,134,45
1,4,5,126,120
1,4,5,174,76
1,4,5,95,190
1,4,5,10,170
1,5,3,123,174
1,5,4,157,119
1,5,4,221,155
1,5,4,148,36
1,5,4,62,171
1,5,5,8,95
1,5,5,43,188
1,5,5,183,97
1,5,5,121,12
1,5,5,175,9
1,5,5,19,101
1,5,5,25,158
1,5,5,210,139
1,5,5,39,127
1,5,5,133,187
1,5,5,167,154
1,5,5,117,84
1,5,5,212,17
1,5,5,35,34
1,5,5,101,160
1,6,3,189,52
1,6,3,109,106
1,6,3,242,81
1,6,4,252,58
1,6,4,180,128
1,6,4,139,135
1,6,5,171,35
1,6,5,33,192
1,6,5,44,7
1,6,5,144,170
1,6,5,172,37
1,6,5,95,89
1,6,5,252,31
1,6,5,220,124
1,6,5,97,37
1,6,5,110,93
1,6,5,31,114
1,6,5,58,74
1,6,5,150,49
1,7,3,109,19
1,7,4,154,91
1,7,4,179,135
1,7,4,164,7
1,7,5,18,62
1,7,5,136,126
1,7,5,105,158
1,7,5,184,186
1,7,5,137,63
1,7,5,28,118
1,7,5,200,82
1,7,5,24,52
1,7,5,40,54
1,7,5,113,102
1,7,5,118,169
1,7,5,133,182
1,7,5,164,184
1,7,5,62,130
1,8,1,118,148
1,8,2,83,151
1,8,4,121,7
1,8,4,46,139
1,8,5,122,30
1,8,5,88,117
1,8,5,50,142
1,8,5,63,177
1,8,5,69,147
1,8,5,49,56
1,8,5,24,111
1,8,5,175,105
1,8,5,109,124
1,8,5,166,131
1,8,5,163,182
1,8,5,54,137
1,8,5,61,23
1,9,5,31,181
1,9,5,166,93
1,9,5,164,105
1,9,5,166,105
1,9,5,185,101
1,9,5,255,42
1,9,5,28,22
1,9,5,17,78
1,9,5,115,71
1,9,5,196,121
1,9,5,198,180
1,9,5,250,37
1,9,5,36,134
1,9,5,25,101
1,9,5,136,166
1,9,5,125,76
1,10,3,109,52
1,10,3,51,158
1,10,4,111,171
1,10,4,101,148
1,10,5,102,156
1,10,5,194,73
1,10,5,56,152
1,10,5,244,63
1,10,5,172,85
1,10,5,214,148
1,10,5,43,166
1,10,5,254,99
1,10,5,227,113
1,10,5,40,39
1,10,5,105,144
1,10,5,212,152
1,10,5,82,103
1,10,5,24,22
1,10,5,35,131
